Year,Movie Title
2001,Tortilla Soup
2001,Town & Country 
2001,Training Day
2001,Two Can Play That Game 
2001,Uprising 
2001,Valentine 
2001,Vanilla Sky
2001,Waking Life
2001,The Wash 
2001,The Wedding Planner
2001,West 47th Street
2001,Wet Hot American Summer
2001,What's the Worst That Could Happen?
2001,When Strangers Appear
2001,The Zeros  (page does not exist)
2001,Zoolander
2002,13 Moons
2002,25th Hour
2002,40 Days and 40 Nights
2002,8 Mile 
2002,Abandon 
2002,About a Boy 
2002,About Schmidt
2002,Adaptation 
2002,The Adventures of Pluto Nash
2002,All About the Benjamins
2002,Analyze That
2002,Antwone Fisher 
2002,Austin Powers in Goldmember
2002,Auto Focus
2002,Avenging Angelo
2002,Bad Company 
2002,Ballistic: Ecks vs. Sever
2002,The Banger Sisters
2002,Barbershop 
2002,Below 
2002,Better Luck Tomorrow
2002,Big Fat Liar
2002,Big Trouble 
2002,Biggie & Tupac
2002,Birthday Girl 
2002,Blade II
2002,Blood Work 
2002,Blue Crush
2002,Book of Love 
2002,The Bourne Identity 
2002,Bowling for Columbine
2002,Brown Sugar 
2002,Bubba Ho-tep
2002,The Burial Society
2002,Buying the Cow
2002,Cabin Fever 
2002,Carrie 
2002,Catch Me If You Can
2002,Chance 
2002,Changing Lanes
2002,Chat Room 
2002,Chelsea Walls
2002,Chicago 
2002,Ciao America
2002,City by the Sea
2002,City of Ghosts 
2002,Civil Brand
2002,Clockstoppers
2002,The Cockettes 
2002,Collateral Damage 
2002,The Crocodile Hunter: Collision Course
2002,Comedian 
2002,Confessions of a Dangerous Mind 
2002,The Count of Monte Cristo 
2002,The Country Bears
2002,Crazy as Hell
2002,Crossroads 
2002,Cypher 
2002,The Dancer Upstairs 
2002,The Dangerous Lives of Altar Boys
2002,Darkness 
2002,Daughter from Danang
2002,Death to Smoochy
2002,Demon Island
2002,Deuces Wild
2002,Divine Secrets of the Ya-Ya Sisterhood 
2002,Dragonfly 
2002,Drumline 
2002,David Ian
2002,Eight Crazy Nights
2002,Eight Legged Freaks
2002,The Emperor's Club
2002,Empire 
2002,Enough 
2002,Equilibrium 
2002,Evelyn 
2002,Far from Heaven
2002,FeardotCom
2002,The First $20 Million Is Always the Hardest
2002,Frida 
2002,Friday After Next
2002,The Four Feathers 
2002,Full Frontal 
2002,Gangs of New York
2002,Ghost Ship 
2002,The Good Girl
2002,Groom Lake 
2002,The Guru 
2002,The Guys
2002,Half Past Dead
2002,Halloween: Resurrection
2002,Harry Potter and the Chamber of Secrets 
2002,Hart's War
2002,Hey Arnold!: The Movie
2002,High Crimes
2002,Highway 
2002,Hollywood Ending
2002,Home Room 
2002,The Hot Chick
2002,The Hours 
2002,Hysterical Blindness 
2002,I Spy 
2002,Ice Age 
2002,Igby Goes Down
2002,Impostor 
2002,Interstate 60
2002,Insomnia 
2002,Jackass: The Movie
2002,Jason X
2002,John Q
2002,Jonah: A VeggieTales Movie
2002,Juwanna Mann
2002,K-19: The Widowmaker
2002,K-9: P.I.
2002,The Kid Stays in the Picture
2002,Killing Me Softly 
2002,Kiss the Bride 
2002,Kung Pow! Enter the Fist
2002,The Laramie Project 
2002,Last Call 
2002,Laurel Canyon 
2002,Life or Something Like It
2002,Like Mike
2002,Lilo & Stitch
2002,The Lord of the Rings: The Two Towers
2002,Maid in Manhattan
2002,The Man from Elysian Fields
2002,The Master of Disguise
2002,Men in Black II
2002,Minority Report 
2002,Moonlight Mile 
2002,The Mothman Prophecies 
2002,Mr. Deeds
2002,Murder by Numbers
2002,My Big Fat Greek Wedding
2002,Narc 
2002,National Lampoon's Van Wilder
2002,New Best Friend
2002,The New Guy
2002,Nicholas Nickleby 
2002,Night at the Golden Eagle
2002,On Line 
2002,One Hour Photo
2002,Orange County 
2002,Peter Werner
2002,Paid in Full 
2002,Panic Room 
2002,Path to War
2002,Personal Velocity: Three Portraits
2002,Pinocchio 
2002,Poolhall Junkies
2002,Possession 
2002,The Powerpuff Girls Movie
2002,Prisoner of Paradise 
2002,Pumpkin 
2002,Punch-Drunk Love
2002,Queen of the Damned 
2002,The Quiet American 
2002,R.S.V.P. 
2002,Real Women Have Curves
2002,Red Dragon 
2002,Reign of Fire 
2002,Return to Never Land
2002,The Ring 
2002,Ripley's Game 
2002,Road to Perdition
2002,Roger Dodger 
2002,Rollerball 
2002,The Rookie 
2002,The Rules of Attraction 
2002,S1m0ne
2002,The Salton Sea 
2002,The Santa Clause 2
2002,Scooby-Doo 
2002,The Scorpion King
2002,The Secret Lives of Dentists
2002,Secretary 
2002,Serving Sara
2002,Showboy
2002,Showtime 
2002,The Singles Ward
2002,Signs 
2002,Slackers 
2002,Snow Dogs 
2002,Solaris 
2002,Sorority Boys
2002,Spellbound 
2002,Spider-Man 
2002,Spirit: Stallion of the Cimarron
2002,Spun
2002,Spy Kids 2: The Island of Lost Dreams
2002,Star Wars: Episode II – Attack of the Clones
2002,Star Trek Nemesis
2002,State Property 
2002,Stealing Harvard
2002,Stevie 
2002,Stolen Summer
2002,Stuart Little 2
2002,The Sum of All Fears 
2002,Sunshine State 
2002,The Sweetest Thing
2002,Sweet Home Alabama 
2002,Swept Away 
2002,Swimfan
2002,Tadpole 
2002,They 
2002,Time Changer
2002,The Time Machine 
2002,Timequest 
2002,The Transporter
2002,Trapped 
2002,Treasure Planet
2002,The Trials of Henry Kissinger
2002,The Truth About Charlie
2002,Tuck Everlasting 
2002,The Tuxedo
2002,Two Weeks Notice
2002,Undercover Brother
2002,Undisputed 
2002,Unfaithful 
2002,Waking Up in Reno
2002,A Walk to Remember
2002,We Were Soldiers
2002,Welcome to Collinwood
2002,White Oleander 
2002,The Wild Thornberrys Movie
2002,Windtalkers
2002,XXx 
2002,Zig Zag 
2003,11:14
2003,101 Dalmatians II: Patch's London Adventure
2003,2 Fast 2 Furious
2003,21 Grams
2003,44 Minutes: The North Hollywood Shoot-Out
2003,Abby Singer 
2003,Afro-Punk 
2003,Agent Cody Banks
2003,Aileen: Life and Death of a Serial Killer
2003,Alex & Emma
2003,Alien Hunter
2003,All the Real Girls
2003,Amandla!: A Revolution in Four-Part Harmony
2003,American Splendor 
2003,American Wedding
2003,Anger Management 
2003,Anne B. Real
2003,Anything Else
2003,BAADASSSSS!
2003,Bad Boys II
2003,Bad Santa
2003,Basic 
2003,The Battle of Shaker Heights
2003,Bells of Innocence
2003,The Best Two Years
2003,Beyond Borders 
2003,Big Fish
2003,Biker Boyz
2003,Black Cadillac 
2003,Blind Horizon
2003,Blizzard 
2003,Boat Trip 
2003,Bringing Down the House 
2003,Bringing Rain
2003,Brother Bear
2003,The Brown Bunny
2003,Bruce Almighty
2003,Bulletproof Monk
2003,Camp 
2003,Carolina 
2003,Casa de los Babys
2003,The Cat in the Hat 
2003,Charlie's Angels: Full Throttle
2003,Chasing Papi
2003,Cheaper by the Dozen 
2003,Christmas Child
2003,Coffee and Cigarettes
2003,Cold Creek Manor
2003,Cold Mountain 
2003,Comandante
2003,The Company 
2003,Confidence 
2003,The Cooler
2003,The Core
2003,Cosmopolitan 
2003,Cradle 2 the Grave
2003,Crime Spree
2003,Daddy Day Care
2003,Daredevil 
2003,Dark Blue 
2003,Darkness Falls 
2003,Deliver Us from Eva
2003,Devil's Pond
2003,Dickie Roberts: Former Child Star
2003,Le Divorce
2003,Down with Love
2003,Dreamcatcher 
2003,Dumb and Dumberer: When Harry Met Lloyd
2003,Duplex 
2003,Dysfunktional Family
2003,Elephant 
2003,Elf 
2003,Evil Alien Conquerors
2003,Faster 
2003,Festival Express
2003,The Fighting Temptations
2003,Final Destination 2
2003,Finding Nemo
2003,Flywheel 
2003,The Fog of War
2003,Freaky Friday 
2003,Freddy vs. Jason
2003,From Justin to Kelly
2003,Gang of Roses
2003,Georges Bataille's Story of the Eye
2003,Gigli
2003,Gods and Generals 
2003,Good Boy!
2003,Gothika
2003,Grand Theft Parsons
2003,Grind 
2003,A Guy Thing
2003,The Haunted Mansion 
2003,Head of State 
2003,Hey DJ 
2003,Holes 
2003,Hollywood Homicide
2003,Honey 
2003,Hope Springs 
2003,House of 1000 Corpses
2003,House of Sand and Fog 
2003,House of the Dead 
2003,How to Deal
2003,How to Lose a Guy in 10 Days
2003,Hulk 
2003,The Human Stain 
2003,The Hunted 
2003,I Am David 
2003,Identity 
2003,Imagining Argentina 
2003,In the Cut 
2003,The In-Laws 
2003,Indigo 
2003,Intolerable Cruelty
2003,It Runs in the Family 
2003,The Italian Job 
2003,Jeepers Creepers II
2003,Johnny English
2003,The Jungle Book 2
2003,Just Married
2003,Kangaroo Jack
2003,Kill Bill: Volume 1
2003,Lara Croft Tomb Raider: The Cradle of Life
2003,The Last Samurai
2003,The League of Extraordinary Gentlemen 
2003,"Legally Blonde 2: Red, White & Blonde"
2003,The Life of David Gale
2003,The Lizzie McGuire Movie
2003,Looney Tunes: Back in Action
2003,The Lord of the Rings: The Return of the King
2003,Lost in Translation 
2003,Love Don't Cost a Thing 
2003,Malibu's Most Wanted
2003,A Man Apart
2003,Manhood 
2003,Marci X
2003,Masked and Anonymous
2003,Master and Commander: The Far Side of the World
2003,Matchstick Men 
2003,The Matrix Reloaded
2003,The Matrix Revolutions
2003,May 
2003,The Medallion
2003,A Mighty Wind
2003,"Milwaukee, Minnesota"
2003,The Missing 
2003,Mona Lisa Smile
2003,Monster 
2003,Monster Man 
2003,My Boss's Daughter
2003,My Flesh and Blood 
2003,Mystic River 
2003,National Lampoon Presents Dorm Daze
2003,National Lampoon's Gold Diggers
2003,National Security 
2003,The Night We Called It a Day 
2003,Old School 
2003,Once Upon a Time in Mexico
2003,Open Range 
2003,Open Water 
2003,The Order 
2003,Out of Time 
2003,Party Monster 
2003,Paper Soldiers
2003,Pauly Shore Is Dead
2003,Paycheck 
2003,Peter Pan 
2003,Phone Booth 
2003,Pieces of April
2003,Piglet's Big Movie
2003,Pirates of the Caribbean: The Curse of the Black Pearl
2003,Poolhall Junkies
2003,Prey for Rock & Roll
2003,Puppet Master: The Legacy
